source	target
Blasterjaxx	Inna
Blasterjaxx	Laidback Luke
Blasterjaxx	MOTi
Blasterjaxx	Quintino
Blasterjaxx	Tiësto
Blasterjaxx	W&W
Bleachers (band)	Charli XCX
Bleachers (band)	Fun (band)
Bleachers (band)	Jack Antonoff
Bleeker Ridge	Papa Roach
Bleeker Ridge	Seven Shades
Blenderhead	Roadside Monument
Blenderhead	Squirtgun
Blessthefall	Lights (musician)
Blind Faith	Cream (band)
Blind Faith	Eric Clapton
Blind Faith	Ginger Baker's Air Force
Blind Faith	Steve Winwood
Blind Faith	Traffic (band)
Blind Illusion	Exodus (American band)
Blind Illusion	Heathen (band)
Blind Illusion	Marc Biedermann
Blind Illusion	Primus (band)
Blind Melon	Shannon Hoon
Blink-182	Box Car Racer
Blink-182	Mark Hoppus
Blink-182	Nothing and Nobody
Blink-182	Scott Raynor
Blink-182	Tom DeLonge
Blink-182	Travis Barker
Blink-182	TRV$DJAM
Blinker the Star	Colin Wylie
Blinker the Star	Failure (band)
Blinker the Star	Jordon Zadorozny
Bliss (Danish band)	Sophie Barker
Blitz Kids	Steve Strange
Blondie (band)	Chequered Past
Blondie (band)	Chris Stein
Blondie (band)	Clem Burke
Blondie (band)	Debbie Harry
Blondie (band)	Frank Infante
Blondie (band)	Gary Lachman
Blondie (band)	Iggy Pop
Blondie (band)	Jimmy Destri
Blondie (band)	Joss Stone
Blondie (band)	The Gun Club
Blondie (band)	The Jazz Passengers
Blondie (band)	The Wind in the Willows (band)
Blondie Chaplin	The Beach Boys
Blondie Chaplin	Waddy Wachtel
Blood from the Soul	Napalm Death
Blood, Sweat & Tears	Bo Bice
Blood, Sweat & Tears	Glenn McClelland
Blood, Sweat & Tears	Lew Soloff
Bloodbath	Katatonia
Bloodbath	Mikael Åkerfeldt
Bloodbath	Opeth
Bloodbath	Pain (musical project)
Bloodshy & Avant	Galantis
Bloodshy & Avant	Miike Snow
Blotted Science	Cannibal Corpse
Blotted Science	Derek Roddy
Blotted Science	Ron Jarzombek
Blu & Exile	Blu (rapper)
Blu & Exile	Miguel (singer)
Blu (rapper)	Emanon
Blu (rapper)	Exile (producer)
Blu (rapper)	Pac Div
Blue (English band)	RedOne
Blue Öyster Cult	Buck Dharma
Blue Öyster Cult	Patti Smith
Blue Angel (band)	Cyndi Lauper
Blue Magic (band)	The Delfonics
Blue Mink	David and Jonathan (band)
Blue Mink	Herbie Flowers
Blue Mink	Roger Coulam
Blue Mitchell	Julian Cannonball Adderley
Blue Mitchell	Supersax
Blue Orchids	The Fall (band)
Blue Stahli	Celldweller
Blue Zone (band)	Lisa Stansfield
Bluegrass Album Band	Tony Rice
Blues Incorporated	Charlie Watts
Blues Incorporated	Charlie&nbsp;Watts
Blues Incorporated	Cyril Davies
Blues Incorporated	Danny Thompson
Blues Incorporated	Dick Heckstall-Smith
Blues Incorporated	Duffy Power
Blues Incorporated	Ginger Baker
Blues Incorporated	Graham Bond
Blues Incorporated	Herbie Goins
Blues Incorporated	Jack Bruce
Blues Incorporated	Johnny Parker (jazz pianist)
Blues Incorporated	Long John Baldry
Blues Incorporated	Malcolm Cecil
Blur (band)	Damon Albarn
Blur (band)	Gorillaz
Blur (band)	Graham Coxon
Blur (band)	Pet Shop Boys
Blyss	Jason Wade
Bo Bruce	Danny O'Donoghue
Bo Bruce	Tyler James (English musician)
Boaz van de Beatz	Major Lazer
Boaz van de Beatz	Yellow Claw (DJs)
Bob Bogle	The Ventures
Bob Burns (drummer)	Lynyrd Skynyrd
Bob Cooper (musician)	Bud Shank
Bob Cooper (musician)	Stan Kenton
Bob Cowsill	The Cowsills
Bob Dylan	Brendan O'Brien (record producer)
Bob Dylan	Charlie McCoy
Bob Dylan	Daniel Lanois
Bob Dylan	Donovan
Bob Dylan	George Harrison
Bob Dylan	Grateful Dead
Bob Dylan	Joan Baez
Bob Dylan	Johnny Cash
Bob Dylan	Judy Collins
Bob Dylan	Mark Knopfler
Bob Dylan	The Band
Bob Dylan	Tom Petty and the Heartbreakers
Bob Dylan	Traveling Wilburys
Bob Gaudio	The Four Seasons (band)
Bob Geldof	The Boomtown Rats
Bob Hartman	Petra (band)
Bob James (musician)	Fourplay
Bob Junior	Dully Sykes
Bob Junior	Lady Jaydee
Bob Junior	Mr. Blue
Bob Junior	Professor Jay
Bob Marley	Bob Marley and the Wailers
Bob Marley	Stephen Marley (musician)
Bob Mintzer	The Yellowjackets
Bob Seger & the Silver Bullet Band	Dawayne Bailey
Bob Seger	Eagles (band)
Bob Seger	Frankie Miller
Bob Seger	Glenn Frey
Bob Seger	Grand Funk Railroad
Bob Seger	Kid Rock
Bob Seger	Little Feat
Bob Seger	Muscle Shoals Rhythm Section
Bob Seger	Rod Stewart
Bob Seger	Shaun Murphy (singer)
Bob Shane	The Kingston Trio
Bob Weir	Bobby and the Midnites
Bob Weir	Furthur (band)
Bob Weir	Grateful Dead
Bob Weir	Phil Lesh and Friends
Bob Weir	RatDog
Bob Weir	The Dead (band)
Bob Weir	The Other Ones
Bob Weir	Waddy Wachtel
Bob Wilber	Kenny Davern
Bob Wills	Leon McAuliffe
Bob Wills	Light Crust Doughboys
Bob Wills	Tommy Duncan
Bob Wootton	The Tennessee Three
Bob Wootton	The_Tennessee_Three#Former_members
Bobbie Gentry	Glen Campbell
Bobby and the Midnites	Grateful Dead
Bobby Bare	Skeeter Davis
Bobby Bennett (The Famous Flames)	Bobby Byrd
Bobby Bennett (The Famous Flames)	James Brown
Bobby Bland	Mel Brown (guitarist)
Bobby Brown	Heads of State (group)
Bobby Brown	Ja Rule
Bobby Brown	L.A. Reid
Bobby Brown	New Edition
Bobby Brown	Teddy Riley
Bobby Brown	Whitney Houston
Bobby Byrd	Carleen Anderson
Bobby Byrd	James Brown
Bobby Byrd	Maceo Parker
Bobby Byrd	The Famous Flames
Bobby Byrd	Vicki Anderson
Bobby Caldwell	Dave Koz
Bobby Creekwater	Cashis
Bobby Creekwater	Stat Quo
Bobby Darin	Connie Francis
Bobby DeBarge	Chico DeBarge
Bobby DeBarge	DeBarge
Bobby DeBarge	LL Cool J
Bobby DeBarge	Phillip Ingram
Bobby DeBarge	Switch (band)
Bobby Elliott	The Hollies
Bobby Gillespie	Primal Scream
Bobby Hatfield	The Righteous Brothers
Bobby Jimmy and the Critters	N.W.A
Bobby McFerrin	Chick Corea
Bobby Pinson	Toby Keith
Bobby Rogers	The Miracles
Bobby Russell	Vicki Lawrence
Bobby Steele	The Undead
Bobby Tench	Hummingbird (band)
Bobby Womack	Lana Del Rey
Bobby Womack	Sam Cooke
Bobby Womack	The Valentinos
Body Count	Evildead
Body Count	Ice-T
Body Count	Ice T
Body Count	Lloyd Roberts
Body Count	Madball
Body Count	Mooseman
Body Count	The Trolls
Body/Head	Kim Gordon
Body/Head	Sonic Youth
Boi-1da	Drake (rapper)
Boi-1da	Drake_(rapper)
Boi-1da	Vinylz
Bok Bok	Kelela
Bok Bok	Tom Trago
Bon Iver	DeYarmond Edison
Bon Iver	GAYNGS
Bon Iver	Gayngs
Bon Iver	James Blake (musician)
Bon Iver	Justin Vernon
Bon Iver	Kanye West
Bon Iver	Megafaun
Bon Iver	Poliça
Bon Iver	S. Carey
Bon Iver	St. Vincent (musician)
Bon Iver	Volcano Choir
Bon Jovi	Jon Bon Jovi
Bon Jovi	Kid Rock
Bon Scott	The Valentines (rock band)
Bone Thugs-n-Harmony	Eazy-E
Bone Thugs-n-Harmony	Krayzie Bone
Bone Thugs-n-Harmony	Wish Bone
Bone Thugs-n-Harmony	Wisin & Yandel
Bonnie Raitt	Jackson Browne
Bono	U2
Boogie Box High	George Michael
Boogie Down Productions	D-Nice
Boogie Down Productions	KRS-One
Boogie Down Productions	Stop the Violence Movement
Booker T & the MG's	The Staple Singers
Booker T. & the M.G.'s	Booker T. Jones
Booker T. & the M.G.'s	Mar-Keys
Booker T. & the M.G.'s	Otis Redding
Booker T. & the M.G.'s	Steve Cropper
Booker T. & the MGs	Booker T. Jones
Boom Bip	Doseone
Boom Bip	Neon Neon
Boom! (band)	Danny Foster (musician)
Boom! (band)	Hear'Say
Boom! (band)	Johnny Shentall
Boot Camp Clik	Buckshot (rapper)
Boot Camp Clik	Sean Price
Boots Riley	The Coup
Bootsy's Rubber Band	Parliament (band)
Bootsy Collins	James Brown
Bootsy Collins	Norman Cook
Bootsy Collins	Parliament (band)
Boredoms	Hanatarash
Boredoms	Hisham Bharoocha
Boredoms	Yamantaka Eye
Borgeous	Dimitri Vegas & Like Mike
Borgeous	DVBBS
Borgeous	KSHMR
Borgeous	Lights (musician)
Borgore	Cedric Gervais
Borgore	G-Eazy
Boris (band)	Doomriders
Boris (band)	Ian Astbury
Boris (band)	Joe Volk
Boris (band)	Keiji Haino
Boris (band)	Merzbow
Boris (band)	Michio Kurihara
Boris (band)	Sunn O)))
Boris (band)	Torche (band)
Borknagar	Øystein Brun
Borknagar	Gorgoroth
Borknagar	Immortal (band)
Borknagar	Ivar Bjørnson
Bounty Killer	The Alliance (dancehall)
Bow Wow (rapper)	Da Brat
Bow Wow (rapper)	Omarion
Bow Wow (rapper)	Xscape (group)
Bow Wow Wow	Boy George
Bow Wow Wow	Chicane (recording artist)
Bow Wow Wow	Chiefs of Relief
Bow Wow Wow	Culture Club
Bow Wow Wow	Leigh Gorman
Bow Wow Wow	No Doubt
Bow Wow Wow	Novacaine (band)
Bow Wow Wow	Republica
Bow Wow Wow	Sin City Sinners
Bow Wow Wow	The Vapors
Box Car Racer	Tom DeLonge
Box Car Racer	Travis Barker
Box Codax	Franz Ferdinand (band)
Box Codax	Nick McCarthy
Box of Frogs	the Yardbirds
Box of Frogs	The Yardbirds
Boy Better Know	Drake (rapper)
Boy Better Know	Jammer (rapper)
Boy Better Know	Jme (MC)
Boy Better Know	Roll Deep Crew
Boy Better Know	Skepta
Boy Better Know	Tinchy Stryder
Boy Better Know	Wiley (rapper)
Boy George	Culture Club
Boy George	Jesus Loves You (band)
Boy George	Leigh Bowery
Boy George	Mark Ronson
Boy Howdy (band)	Jeffrey Steele
Boy Wonder (producer)	Farruko
Boy Wonder (producer)	Fuego (singer)
Boy Wonder (producer)	J Balvin
Boys Brigade (band)	Malcolm Burn
Boys Noize	Dog Blood
Boys Noize	Mr. Oizo
Boyz II Men	Jimmy Jam and Terry Lewis
Boyz II Men	L.A. Reid
Boyz II Men	LL Cool J
Boyz II Men	Nathan Morris
Boyz n da Hood (rap group)	Yung Joc
Boyz n da Hood	Jody Breeze
Boyz n da Hood	Young Jeezy
Boyz n da Hood	Yung Joc
Boz Burrell	King Crimson
Boz Scaggs	Jeff Porcaro
Boz Scaggs	Steve Miller Band
Boz Scaggs	Toto (band)
Bozzio Levin Stevens	Frank Zappa
Bozzio Levin Stevens	Terry Bozzio
Bozzio Levin Stevens	Tony Levin
Brídín Brennan	Clannad (musical group)
Brídín Brennan	Enya
Bracket (music group)	Cynthia Morgan
Bracket (music group)	Diamond Platnumz
Bracket (music group)	Flavour N'abania
Bracket (music group)	P-Square
Bracket (music group)	Phyno
Bracket (music group)	Tekno Miles
Bracket (music group)	Timaya
Bracket (music group)	Tiwa Savage
Bracket (music group)	Wizkid (musician)
Brad (band)	Jeremy Toback
Brad (band)	Malfunkshun
Brad (band)	Pearl Jam
Brad (band)	Stone Gossard
Brad Elrod	Today Is the Day
Brad Paisley	Carrie Underwood
Brad Paisley	Chris DuBois
Brad Paisley	Frank Rogers (record producer)
Brad Paisley	Kelley Lovelace
Brad Paisley	Kenny Rogers
Brad Paisley	Little Big Town
Brand New Heavies	Carleen Anderson
Brand New Heavies	Jamiroquai
Brand New Heavies	N'Dea Davenport
Brand New Heavies	Siedah Garrett
Brand New Heavies	Sy Smith
Brand Nubian	Grand Puba
Brand X	Genesis (band)
Brand X	Peter Gabriel
Brand X	Phil Collins
Brandon Boyd	Incubus (band)
Brandon Curtis	Secret Machines
Brandon Curtis	UFOFU
Brandon DiCamillo	Gnarkill
Brandon Flowers	The Killers
Brandy Clark	Josh Osborne
Brandy Clark	Kacey Musgraves
Brandy Clark	Shane McAnally
Brandy Norwood	Harold Lilly (songwriter)
Brandy Norwood	Jordin Sparks
Brandy Norwood	Ray J
Brandy Norwood	Rodney Jerkins
Brandy Norwood	Static Major
Brandy Norwood	Whitney Houston
Branford Marsalis	Wynton Marsalis
Brantley Gilbert	Colt Ford
Brantley Gilbert	Eric Church
Brantley Gilbert	Jason Aldean
Brantley Gilbert	Justin Moore
Brantley Gilbert	Rachel Farley
Brantley Gilbert	Thomas Rhett
Brave Combo	Carl Finch
Bread (band)	David Gates
Bread (band)	Larry Knechtel
Bread (band)	The Remingtons
Breakage (musician)	David Rodigan
Breakage (musician)	Jess Mills
Breakfast Club (band)	Dan Gilroy (musician)
Breakfast Club (band)	Madonna (entertainer)
Breanne Düren	Owl City
Breanne Düren	Porter Robinson
Breathe Carolina	Forever the Sickest Kids
Breathe Carolina	The Ready Set
Brecker Brothers	Horace Silver
Brecker Brothers	Randy Brecker
Breeze Brewin	The Weathermen (hip hop group)
Brenda Lee	Connie Francis
Brendan Croker	The Mekons (band)
Brendan Croker	The Notting Hillbillies
Brendon Urie	Dillon Francis
Brendon Urie	Panic! at the Disco
Brent Fischer	Clare Fischer
Brent Maher	The Judds
Brent Muscat	Faster Pussycat
Brent Muscat	Sin City Sinners
Brent Mydland	Grateful Dead
Brent Smith	Shinedown
Bret McKenzie	Flight of the Conchords
Bret McKenzie	Jemaine Clement
Bret McKenzie	The Black Seeds
Brett Anderson	Suede (band)
Brett Anderson	The Tears
Brett Beavers	Dierks Bentley
Brett Hestla	Creed (band)
Brett Hestla	Dark New Day
Brett Hestla	Virgos Merlot
Brett Hoffman	Malevolent Creation
Brett James	Carrie Underwood
Brett Reed	Rancid (band)
Brian Bell (musician)	Space Twins
Brian Blade	Jon Cowherd
Brian Chippendale	Lightning Bolt (band)
Brian Cook	Yovee
Brian Eno	Cluster (band)
Brian Eno	Coldplay
Brian Eno	Damon Albarn
Brian Eno	David Bowie
Brian Eno	David Byrne
Brian Eno	Devo
Brian Eno	Fred Frith
Brian Eno	Genesis (band)
Brian Eno	Harold Budd
Brian Eno	James Blake (musician)
Brian Eno	John Cale
Brian Eno	Jon Hassell
Brian Eno	Karl Hyde
Brian Eno	Phil Collins
Brian Eno	Robert Fripp
Brian Eno	Robert Wyatt
Brian Eno	Roxy Music
Brian Eno	Talking Heads
Brian Eno	U2
Brian Eno	Ultravox
Brian Fallon	The Gaslight Anthem
Brian Fallon	The Horrible Crowes
Brian Graves	Picture Atlantic
Brian James (guitarist)	The Damned (band)
Brian Johnson	Geordie (band)
Brian Jones	Donovan
Brian Jones	Jimi Hendrix
Brian Jones	Master Musicians of Joujouka
Brian Jones	The Beatles
Brian Jones	The Rolling Stones
Brian Lang (architect)	Less (band)
Brian May	Eddie Van Halen
Brian May	Foo Fighters
Brian May	G3 (tour)
Brian May	Kerry Ellis
Brian May	Motörhead
Brian May	Phenomena (band)
Brian May	Queen (band)
Brian May	Queen + Adam Lambert
Brian May	Queen + Paul Rodgers
Brian May	Smile (band)
Brian Ritchie	Violent Femmes
Brian Setzer Orchestra	Stray Cats
Brian Setzer	Stray Cats
Brian Setzer	The Brian Setzer Orchestra
Brian Viglione	The Dresden Dolls
Brian Viglione	Violent Femmes
Brian Wilson	California Music
Brian Wilson	Don Was
Brian Wilson	Gary Usher
Brian Wilson	Jan and Dean
Brian Wilson	Joe Thomas (producer)
Brian Wilson	Stephen Kalinich
Brian Wilson	The Beach Boys
Brian Wilson	The Honeys
Brian Wilson	The Wilsons
Brian Wilson	Van Dyke Parks
Brian Wilson	Wondermints
Brides of Destruction	Mötley Crüe
Brides of Destruction	Tracii Guns
Brigade (band)	Once Upon A Dead Man
Bring Me The Horizon	Lights (musician)
Brinsley Schwarz	Dave Edmunds
Brinsley Schwarz	Nick Lowe
Brion Gysin	Master Musicians of Joujouka
Brisco (rapper)	Flo Rida
Brisco (rapper)	Triple C's
British Electric Foundation	The Human League
Britney Spears	Danja (record producer)
Britney Spears	Fraser T Smith
Britney Spears	Giorgio Moroder
Britney Spears	Innosense
Britney Spears	Max Martin
Britney Spears	NSYNC
Britney Spears	Sia Furler
Britney Spears	Will.i.am
Britney Spears	will.i.am
Britny Fox	Cinderella (band)
Brix Smith	The Adult Net
Brix Smith	The Fall (band)
Brodsky Quartet	Elvis Costello
Brody Dalle	Nick Valensi
Brody Dalle	Spinnerette
Brody Dalle	The Distillers
Broken Bells	Danger Mouse (musician)
Broken Bells	James Mercer (musician)
Broken Hope	Soil (band)
Broken Social Scene	By Divine Right
Broken Social Scene	KC Accidental
Broken Social Scene	Kevin Drew
Broken Social Scene	Stars (Canadian band)
Broken Social Scene	Torquil Campbell
Brooke Candy	Grimes (musician)
Brooklyn Dreams (group)	Donna Summer
Brooklyn Dreams (group)	Joe Esposito (singer)
Brooklyn Tabernacle Choir	Jennifer Holliday
Brooklyn Tabernacle Choir	Patti LaBelle
Brooks & Dunn	Don Cook
Brooks & Dunn	Kix Brooks
Brooks & Dunn	Reba McEntire
Bros	Matt Goss
Brother Cane	Damon Johnson
Brother Cane	Glenn Maxey
Brother Clyde	Dolly Parton
Brother Phelps	The Kentucky Headhunters
Bruce Gilbert	Dome (band)
Bruce Gilbert	Wire (band)
Bruce Hornsby	Don Henley
Bruce Hornsby	Grateful Dead
Bruce Hornsby	Jerry Garcia
Bruce Hornsby	John Molo
Bruce Johnston	The Beach Boys
Bruce Kulick	Kiss (band)
Bruce Nazarian	Was (Not Was)
Bruce Palmer	Buffalo Springfield
Bruce Roberts (singer)	Donna Summer
Bruce Springsteen and the E Street Band	Tom Morello
Bruce Springsteen	David Sancious
Bruce Springsteen	Donna Summer
Bruce Springsteen	Dropkick Murphys
Bruce Springsteen	E Street Band
Bruce Springsteen	Enrique Iglesias
Bruce Springsteen	Garry Tallent
Bruce Springsteen	Gary U.S. Bonds
Bruce Springsteen	Jackson Browne
Bruce Springsteen	Joe Grushecky
Bruce Springsteen	John Mellencamp
Bruce Springsteen	Little Steven
Bruce Springsteen	Max Weinberg
Bruce Springsteen	Miami Horns
Bruce Springsteen	Roy Bittan
Bruce Springsteen	Southside Johnny
Bruce Springsteen	Southside Johnny & the Asbury Jukes
Bruce Springsteen	Steel Mill
Bruce Springsteen	Steven Van Zandt
Bruce Springsteen	The Gaslight Anthem
Bruce Springsteen	The Sessions Band
Bruce Springsteen	Tom Morello
Bruce Springsteen	USA for Africa
Bruce Springsteen	Vini Lopez
Bruce Springsteen	Warren Zevon
Bruce Sudano	Donna Summer
Bruford Levin Upper Extremities	King Crimson
Bruford Levin Upper Extremities	Tony Levin
Brujeria (band)	Dino Cazares
Brujeria (band)	Fear Factory
Brujeria (band)	Napalm Death
Bruno Mars	Janelle Monáe
Bruno Mars	Mark Ronson
Bruno Nicolai	Ennio Morricone
Brush Shiels	Skid Row (Irish band)
Brutal Truth	Lethargy (band)
Brutal Truth	Nuclear Assault
Brutal Truth	Venomous Concept
Bryan-Michael Cox	Johntá Austin
Bryan-Michael Cox	R. Kelly
Bryan-Michael Cox	Usher (singer)
Bryan Adams	Robert John "Mutt" Lange
Bryan Ferry	David Gilmour
Bryan Ferry	Phil Manzanera
Bryan Ferry	Roxy Music
Bryan Ferry	Tara McDonald
Bryan Ferry	The Bryan Ferry Orchestra
Bryan Sutton	Ricky Skaggs
Bryant Clifford Meyer	Isis (band)
Bryant Clifford Meyer	Red Sparowes
Bryce Dessner	Sufjan Stevens
Brymo	Ice Prince
Brymo	Jesse Jagz
Brymo	M.I
BT (musician)	Billie Ray Martin
BT (musician)	Celldweller
BT (musician)	Christian Burns
BT (musician)	Jan Johnston
BT (musician)	Jes Brieden
BT (musician)	Kirsty Hawkshaw
BT (musician)	Paul van Dyk
BT (musician)	Peter Gabriel
BT (musician)	Stef Lang
BT (musician)	Sultan & Shepard
BT (musician)	Super8 & Tab
BT (musician)	Tiësto
BT (musician)	Tori Amos
BT	Tiësto
Bubba Sparxxx	Colt Ford
Bubba Sparxxx	Timbaland
Bubba Sparxxx	Ying Yang Twins
Bucie	Donald (singer)
Buck Owens	Dwight Yoakam
Buck Owens	The Buckaroos
Buck Satan and the 666 Shooters	Lard (band)
Buck Satan and the 666 Shooters	Mike Scaccia
Buck Satan and the 666 Shooters	Ministry (band)
Buck Satan and the 666 Shooters	Soulfly
Buckcherry	Josh Todd
Buckethead	Colonel Claypool's Bucket of Bernie Brains
Buckethead	Primus (band)
Buckingham Nicks	Fleetwood Mac
Buckingham Nicks	Stevie Nicks
Bucky Jonson	George Pajon
Bucky Jonson	The Black Eyed Peas
Bud Cockrell	It's a Beautiful Day
Bud Cockrell	Pablo Cruise
Bud Gaugh	Sublime (band)
Bud Gaugh	Sublime with Rome
Bud Shank	Laurindo Almeida
Bud Shank	Ravi Shankar
Buddy Cannon	Jamey Johnson
Buddy Cannon	Kenny Chesney
Buddy DeFranco	Charlie Barnet
Buddy Guy	Junior Wells
Buddy Holly	Joe B. Mauldin
Buddy Holly	The Crickets
Buddy Holly	Tommy Allsup
Buddy Petit	Edmond Hall
Buddy Rich	Phil Woods
Budo (musician)	Macklemore
Buena Vista Social Club (album)	Ry Cooder
Buffalo (band)	Rose Tattoo
Buffalo Springfield	Crosby, Stills, Nash & Young
Buffalo Springfield	Dewey Martin (musician)
Buffalo Springfield	Jim Fielder
Buffalo Springfield	Jim Messina (musician)
Buffalo Springfield	Ken Koblun
Buffalo Springfield	Loggins and Messina
Buffalo Springfield	Manassas (band)
Buffalo Springfield	Neil Young
Buffalo Springfield	Poco
Buffalo Springfield	Richie Furay
Buffalo Springfield	Stephen Stills
Buick 6	Lucinda Williams
Bullet for My Valentine	Matthew Tuck
Bun B	Dizzee Rascal
Bun B	DJ Khaled
Bun B	Kirko Bangz
Bun B	UGK
Bun E. Carlos	Cheap Trick
Bunji Garlin	Jack Ü
Bunny DeBarge	DeBarge
Bunny Wailer	The Wailers (1963-1974 band)
Burden Brothers	Corey Rozzoni
Burden Brothers	Gwar
Burden Brothers	Toadies
Burden Brothers	Vaden Todd Lewis
Burial (musician)	Four Tet
Burial (musician)	Jamie Woon
Burial (musician)	Kode9
Burial (musician)	Massive Attack
Burial (musician)	Thom Yorke
Burna Boy	Da L.E.S
Burt Bacharach	Dionne Warwick
Burt Bacharach	Dusty Springfield
Burt Bacharach	Elvis Costello
Burt Bacharach	Hal David
Burton C. Bell	City of Fire (band)
Burton C. Bell	Fear Factory
Burzum	Darkthrone
Burzum	Mayhem (band)
Burzum	Old Funeral
Burzum	Varg Vikernes
Busta Rhymes	DJ Kay Slay
Busta Rhymes	DJ Khaled
Busta Rhymes	Kat DeLuna
Busta Rhymes	Lloyd Banks
Busta Rhymes	Missy Elliott
Busta Rhymes	Obie Trice
Busta Rhymes	Swizz Beatz
Busted (band)	Charlie Simpson
Busted (band)	Fightstar
Busted (band)	James Bourne
Busted (band)	McBusted
Busted (band)	McFly
Busted (band)	Once Upon A Dead Man
Busted (band)	Son of Dork
Buster B. Jones	Chet Atkins
Buster B. Jones	Jerry Reed
Buster Brown (Australian band)	Phil Rudd
Buster Brown (Australian band)	Rose Tattoo
Busy P	Mr. Oizo
Busy P	Sebastian (French musician)
Butch Cassidy (singer)	Dr. Dre
Butch Cassidy (singer)	Westside Connection
Butch Trucks	The Allman Brothers Band
Butch Vig	Garbage (band)
Butthole Surfers	Gibby Haynes
Butthole Surfers	John Paul Jones (musician)
Butthole Surfers	P (band)
Butthole Surfers	The Jackofficers
Butts Band	John Densmore
Butts Band	The Doors
Buzz Osborne	Melvins
Buzz Osborne	Venomous Concept
Buzzcocks	Flag of Convenience (band)
Buzzcocks	Howard Devoto
Buzzcocks	Magazine (band)
Buzzcocks	Pete Shelley
Buzzcocks	Steve Diggle
Buzzcocks	The Teardrops (UK band)
By Divine Right	Feist (singer)
Byla	Colin Marston
Byla	Kevin Hufnagel
Byron Gallimore	Faith Hill
Byron Gallimore	Tim McGraw
Byron Lee and the Dragonaires	Mighty Sparrow
Byzantium (band)	Chaz Jankel
C.I.A. (group)	N.W.A
C+C Music Factory	David Cole (producer)
C+C Music Factory	David Cole (record producer)
C+C Music Factory	Mariah Carey
C+C Music Factory	Robert Clivillés
Cable regime	Paul Neville (musician)
Cachao	Orestes López
Cadaver (band)	Carnage (band)
Cadell (rapper)	Wiley (rapper)
Cado Belle	Maggie Reilly
Caetano Veloso	Gilberto Gil
Café Tacuba	HopPo!
Café Tacuba#Rub.C3.A9n Isaac Albarr.C3.A1n Ortega	HopPo!
Café Tacvba	HopPo!
Cage (rapper)	The High & Mighty
Cage (rapper)	The Weathermen (hip hop group)
Cake (band)	Deathray
Cake (band)	Greg Brown (rock musician)
Cake (band)	John McCrea (musician)
Cal Tjader	Vince Guaraldi
Calf Fiends	Russell Pollard
California Music	The Beach Boys
Calle 13 (band)	Residente
Calle 13 (band)	Tom Morello
Calloway (band)	Klymaxx
Calloway (band)	LeVert
Calvin Harris	Dillon Francis
Calvin Harris	Dizzee Rascal
Calvin Harris	Example (musician)
Calvin Harris	John Newman (singer)
Calvin Harris	Norman Cook
Calvin Harris	R3hab
Calvin Harris	Tiësto
Calvin Harris	Tinie Tempah
Calvin Simon	Parliament (band)
Cam'ron	Hell Rell
Cam'ron	Juelz Santana
Cam'ron	The Diplomats
Cam'ron	The Knocks
Cam Avery	Tame Impala
Cam Avery	The Growl
Camera Shy (band)	Whirr
Cameron Leahy	The Downtown Fiction
Camp Freddy	Dave Navarro
Camp Freddy	Scott Weiland
Camper Van Beethoven	Cracker (band)
Camper Van Beethoven	David Lowery (musician)
Camper Van Beethoven	Monks of Doom
Camper Van Beethoven	Victor Krummenacher
Campfire Girls (band)	Failure (band)
Camu Tao	MHz Legacy
Camu Tao	S.A. Smash
Camu Tao	The Weathermen (hip hop group)
Can (band)	Conny Plank
Can (band)	Michael Karoli
Can (band)	Traffic (band)
Candlebox	Godsmack
Candlebox	Kevin Martin (American musician)
Candlebox	Le Projet
Candlebox	Live (band)
Candlebox	Pearl Jam
Candlebox	Scott Mercado
Candlebox	The Gracious Few
Candlebox	The Kings Royal
Candlebox	Ugly Kid Joe
Candoli Brothers	Conte Candoli
Canibal Ox	The Weathermen (hip hop group)
Canibus	LL Cool J
Canibus	The Firm (hip hop group)
Canibus	The Hrsmn
Cannabis corpse	Municipal Waste (band)
Canned Heat	John Lee Hooker
Canned Heat	John Mayall & the Bluesbreakers
Cannibal Corpse	Chris Barnes (musician)
Cannibal Corpse	Cynic (band)
Cannibal Corpse	Deicide (band)
Cannibal Corpse	George Fisher (musician)
Cannibal Corpse	Hate Eternal
Cannibal Corpse	Jack Owen
Cannibal Corpse	Malevolent Creation
Cannibal Corpse	Monstrosity (band)
Cannibal Corpse	Nevermore
Cannibal Corpse	Paths of Possession
Cannibal Corpse	Paul Mazurkiewicz
Cannibal Corpse	Rob Barrett
Cannibal Corpse	Six Feet Under (band)
Cannibal Corpse	Slayer
Cannibal Corpse	Solstice (US band)
Cannibal Ox	El-P
Cannibal Ox	Vast Aire
Cannonball Adderley	Nat Adderley
Cannonball Adderley	Yusef Lateef
Capital Cities (band)	Kiwi Time
Capital STEEZ	Joey Badass
Capone-N-Noreaga	Foxy Brown (rapper)
Capone-N-Noreaga	Mobb Deep
Capone-N-Noreaga	N.O.R.E.
Capone (rapper)	Capone-N-Noreaga
Capsule (band)	Coltemonikha
Capsule (band)	Meg (singer)
Capsule (band)	Perfume (Japanese band)
Capsule (band)	Toshiko Koshijima
Capsule (band)	Yasutaka Nakata
Captain & Tennille	Daryl Dragon
Captain & Tennille	Toni Tennille
Captain Beefheart	Frank Zappa
Captain Beefheart	Ry Cooder
Captain Rapp	Jimmy Jam and Terry Lewis
Caravan (band)	Pye Hastings
